length,diameter,height,whole_wt,shucked_wt,viscera_wt,shell_wt,age,class
0.27,0.195,0.08,0.1,0.0385,0.0195,0.03,7.5,1
0.4,0.29,0.115,0.2795,0.1115,0.0575,0.075,10.5,1
0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,6.5,1
0.325,0.23,0.09,0.147,0.06,0.034,0.045,5.5,2
0.345,0.25,0.09,0.203,0.078,0.059,0.055,7.5,1
0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,4.5,1
0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,6.5,1
0.365,0.26,0.115,0.218,0.0935,0.0445,0.07,10.5,1
0.2,0.14,0.055,0.035,0.0145,0.008,0.01,6.5,1
0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015,5.5,2
0.175,0.125,0.04,0.024,0.0095,0.006,0.005,5.5,2
0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,4.5,1
0.57,0.445,0.155,0.733,0.282,0.159,0.235,15.5,1
0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,13.5,1
0.385,0.3,0.095,0.24,0.0885,0.059,0.085,10.5,1
0.53,0.42,0.185,0.752,0.299,0.156,0.205,21.5,1
0.46,0.355,0.13,0.458,0.192,0.1055,0.13,14.5,1
0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155,13.5,1
0.435,0.335,0.11,0.38,0.1695,0.086,0.11,10.5,1
0.47,0.37,0.14,0.4985,0.2095,0.1225,0.145,11.5,2
0.465,0.38,0.13,0.454,0.1895,0.08,0.155,12.5,1
0.52,0.405,0.14,0.5775,0.2,0.145,0.179,12.5,1
0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,8.5,2
0.275,0.205,0.07,0.094,0.0335,0.02,0.0325,6.5,1
0.375,0.29,0.115,0.2705,0.093,0.066,0.0885,11.5,2
0.5,0.375,0.14,0.604,0.242,0.1415,0.179,16.5,2
0.44,0.355,0.115,0.415,0.1585,0.0925,0.131,12.5,1
0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,16.5,2
0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117,9.5,1
0.38,0.29,0.105,0.257,0.099,0.051,0.085,11.5,2
0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,12.5,1
0.255,0.195,0.065,0.08,0.0315,0.018,0.027,9.5,1
0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155,8.5,2
0.565,0.45,0.16,0.795,0.3605,0.1555,0.23,13.5,1
0.555,0.425,0.18,0.875,0.3695,0.2005,0.255,12.5,1
0.65,0.515,0.16,1.1625,0.495,0.203,0.33,18.5,1
0.615,0.49,0.155,0.9885,0.4145,0.195,0.345,14.5,1
0.56,0.44,0.165,0.8,0.335,0.1735,0.25,13.5,1
0.48,0.37,0.12,0.514,0.2075,0.131,0.155,14.5,1
0.485,0.39,0.125,0.591,0.287,0.141,0.12,10.5,1
0.5,0.385,0.15,0.6265,0.2605,0.1665,0.16,11.5,2
0.525,0.405,0.15,0.795,0.3075,0.205,0.255,15.5,1
0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,13.5,1
0.66,0.53,0.17,1.326,0.519,0.2625,0.44,14.5,1
0.52,0.4,0.145,0.66,0.267,0.1055,0.22,14.5,1
0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,9.5,1
0.515,0.4,0.12,0.659,0.2705,0.179,0.17,14.5,1
0.475,0.35,0.115,0.452,0.1715,0.092,0.155,12.5,1
0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185,12.5,1
0.47,0.355,0.13,0.5465,0.2005,0.126,0.185,15.5,1
0.35,0.255,0.065,0.179,0.0705,0.0385,0.06,11.5,2
0.485,0.355,0.13,0.581,0.245,0.132,0.168,13.5,1
0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,13.5,1
0.28,0.21,0.08,0.1085,0.041,0.0265,0.0345,8.5,2
0.41,0.32,0.115,0.387,0.165,0.1005,0.0985,12.5,1
0.45,0.35,0.14,0.474,0.21,0.109,0.1275,17.5,1
0.45,0.345,0.135,0.443,0.1975,0.0875,0.1175,15.5,1
0.59,0.455,0.155,1.066,0.382,0.2275,0.415,21.5,1
0.57,0.44,0.14,0.9535,0.3785,0.201,0.305,18.5,1
0.61,0.475,0.15,0.9665,0.4145,0.2,0.345,11.5,2
0.61,0.475,0.14,1.133,0.5275,0.2355,0.35,12.5,1
0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,11.5,2
0.585,0.435,0.175,0.982,0.4055,0.2495,0.27,11.5,2
0.58,0.445,0.15,0.8865,0.383,0.209,0.255,12.5,1
0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515,18.5,1
0.625,0.49,0.175,1.233,0.5565,0.247,0.365,12.5,1
0.55,0.425,0.15,0.806,0.376,0.171,0.245,15.5,1
0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,20.5,1
0.46,0.355,0.14,0.4935,0.216,0.133,0.115,14.5,1
0.41,0.305,0.1,0.363,0.1735,0.065,0.11,12.5,1
0.495,0.39,0.125,0.6655,0.284,0.162,0.2,12.5,1
0.52,0.425,0.17,0.6805,0.28,0.174,0.195,11.5,2
0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25,14.5,1
0.45,0.335,0.14,0.4625,0.164,0.076,0.15,15.5,1
0.405,0.31,0.12,0.3095,0.138,0.058,0.095,14.5,1
0.51,0.4,0.15,0.745,0.2865,0.1675,0.235,14.5,1
0.37,0.29,0.115,0.25,0.111,0.057,0.075,10.5,1
0.525,0.41,0.175,0.874,0.3585,0.207,0.205,19.5,2
0.66,0.52,0.18,1.514,0.526,0.2975,0.42,20.5,1
0.535,0.42,0.15,0.6995,0.2575,0.153,0.24,13.5,1
0.575,0.455,0.18,0.8525,0.3015,0.1825,0.3,14.5,1
0.55,0.43,0.14,0.7135,0.2565,0.186,0.225,10.5,1
0.605,0.47,0.14,0.939,0.3385,0.201,0.32,14.5,1
0.605,0.495,0.145,1.054,0.369,0.2255,0.36,13.5,1
0.56,0.445,0.195,0.981,0.305,0.2245,0.335,17.5,1
0.535,0.42,0.145,0.926,0.398,0.1965,0.25,18.5,1
0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835,11.5,2
0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,14.5,1
0.47,0.345,0.115,0.4885,0.2005,0.108,0.166,12.5,1
0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235,13.5,1
0.425,0.345,0.125,0.425,0.16,0.0795,0.154,14.5,1
0.345,0.27,0.09,0.195,0.078,0.0455,0.059,10.5,1
0.485,0.37,0.13,0.458,0.181,0.113,0.136,11.5,2
0.37,0.285,0.1,0.228,0.0675,0.0675,0.081,11.5,2
0.35,0.265,0.09,0.1775,0.0575,0.042,0.068,13.5,1
0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,13.5,1
0.195,0.145,0.05,0.032,0.01,0.008,0.012,5.5,2
0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,10.5,1
0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,19.5,2
0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,16.5,2
0.415,0.345,0.135,0.3865,0.128,0.07,0.148,14.5,1
0.47,0.355,0.14,0.433,0.1525,0.095,0.152,13.5,1
0.32,0.24,0.085,0.17,0.0655,0.047,0.049,8.5,2
0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,10.5,1
0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,8.5,2
0.345,0.255,0.08,0.169,0.06,0.0425,0.054,11.5,2
0.485,0.38,0.14,0.673,0.2175,0.13,0.195,19.5,2
0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,13.5,1
